prefix,URI,Title,Languages,VersionName,VersionDate,Link,Folder
ds,http://purl.org/ctic/dcat#,Dataset Catalog Vocabulary, en es ,v2013.0322,2013-03-22,https://lov.linkeddata.es/dataset/lov/vocabs/ds/versions/2013-03-22.n3,LOV_Full
dsd,https://w3id.org/dsd,Description of a Data Source, en ,v4.0.0,2023-03-27,https://lov.linkeddata.es/dataset/lov/vocabs/dsd/versions/2023-03-27.n3,LOV_Full
dsn,http://purl.org/dsnotify/vocab/eventset/,DSNotify Eventsets: A vocabulary for change events in linked data sources, en ,v2014-06-19,2014-06-19,https://lov.linkeddata.es/dataset/lov/vocabs/dsn/versions/2014-06-19.n3,LOV_Full
dso,http://inference-web.org/2.0/ds.owl,Data Structure Ontology, en ,v2.7,2009-06-28,https://lov.linkeddata.es/dataset/lov/vocabs/dso/versions/2009-06-28.n3,LOV_Full
dtx_srti,http://cef.uv.es/lodroadtran18/def/transporte/dtx_srti,LOD SRTI DATEX II, en es ,v1.0,2022-03-03,https://lov.linkeddata.es/dataset/lov/vocabs/dtx_srti/versions/2022-03-03.n3,LOV_Full
dtype,http://www.linkedmodel.org/schema/dtype,Datatype Ontology, ,v1.1,2014-06-28,https://lov.linkeddata.es/dataset/lov/vocabs/dtype/versions/2014-06-28.n3,LOV_Full
dul,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,DOLCE+DnS Ultralite, en it ,v3.31,2017-04-10,https://lov.linkeddata.es/dataset/lov/vocabs/dul/versions/2017-04-10.n3,LOV_Full
duv,http://www.w3.org/ns/duv,Dataset Usage Vocabulary, en ,v2016-08-30,2016-08-30,https://lov.linkeddata.es/dataset/lov/vocabs/duv/versions/2016-08-30.n3,LOV_Full
dvia,http://purl.org/ontology/dvia,The visualization vocabulary for LOD applications, en fr ,v2013-10-09,2013-10-09,https://lov.linkeddata.es/dataset/lov/vocabs/dvia/versions/2013-10-09.n3,LOV_Full
earl,http://www.w3.org/ns/earl,Evaluation and Report Language, en ,v2011-05-10,2011-05-10,https://lov.linkeddata.es/dataset/lov/vocabs/earl/versions/2011-05-10.n3,LOV_Full
earth,http://linked.earth/ontology#,The Linked Earth Ontology, en ,v1.0.0,2016-06-13,https://lov.linkeddata.es/dataset/lov/vocabs/earth/versions/2016-06-13.n3,LOV_Full
ebg,http://data.businessgraph.io/ontology#,euBusinessGraph ontology, bg el en es fr it ,v1.4.1,2020-02-11,https://lov.linkeddata.es/dataset/lov/vocabs/ebg/versions/2020-02-11.n3,LOV_Full
